hastalık,nedir,belirtiler
Aşil Tendonu Kopması,"Aşil tendonu kopması, genellikle ani bir hareket veya aşırı zorlanma sonucunda meydana gelen bir durumdur. Bu durum, aşil tendonunun yırtılması anlamına gelir. Aşil tendonu, vücudun en güçlü tendonlarından biridir ve ayak bileğinin hareketini kontrol etmektedir. Kopma, ağır spor yapan bireylerde, ani ve zorlayıcı hareketlerle, uzun süreli koşu veya atlama gibi aktivitelerle ilişkilendirilir.","Aşil tendonu kopması durumunda, şiddetli ağrı, şişlik, morarma, hareket kısıtlılığı ve ayak bileğinde güçsüzlük gibi belirtiler gözlemlenebilir. Kişi yürüme ve koşma sırasında ağrı ve rahatsızlık hissedebilir. Aşil tendonu kopması tanısı, doktor tarafından fizik muayene ve görüntüleme testleriyle konulur. Kopmanın türünü ve ciddiyetini belirlemek için kullanılan görüntüleme yöntemleri ultrason (USG) ve manyetik rezonans görüntüleme (MRG) olarak adlandırılır. Şiddetli ağrı:Aşil tendonu kopması, ani ve keskin bir ağrıyla başlar. Bu ağrı, topuğun arkasında veya baldır bölgesinde hissedilir.Şişlik ve morarma:Yırtılan tendon bölgesinde şişlik ve morarma görülebilir.Hareket kısıtlılığı:Aşil tendonu kopması durumunda yürüme ve koşma gibi aktivitelerde zorluk yaşanabilir ve hareket kısıtlılığı ortaya çıkabilir."
Ayak Mantarı,"Bir tür mantar enfeksiyonu olan ayak mantarı, son derece sık görülen bir deri hastalığıdır. Kaşıntı ve parlak kırmızı döküntülerle karakterize edilen bu hastalık, daha çok genç ve yetişkin erkeklerde görülür. Belirtileri kişiden kişiye göre değişiklik gösterebilmekle birlikte kaşıntı ve soyulma gibi bazı belirtiler, enfeksiyonun görüldüğü pek çok kişide meydana gelen semptomlardır.","Ayak mantarıbelirtileri kişiden kişiye değişiklik göstermekle birlikte çoğunlukla görülen belirtiler genel hatlarıyla şu şekilde sıralanabilir: Ayak mantarında en fazla görülen belirti, şiddetli kaşıntıların meydana gelmesidir. Bu kaşıntı hissi kişinin yaşam kalitesini olumsuz etkileyebilir.Ayak derisinde kızarıklıklar meydana gelebilir.Ayak tırnaklarında kalınlaşma, kırılma ve renk değişiklikleri gibi çeşitli sorunlara sebebiyet verebilir.Ayak derisinin altında oluşmaya başlayan mantarlar son derece kötü bir koku yayar.Ayak mantarı kabarcık ve çatlak gibi sorunlara neden olabilir. Özellikle çatlaklar, enfeksiyon riskinin artmasının temel nedenlerindendir.Mantar enfeksiyonu, derinin tahrişine sebebiyet verir. Bu durum, deri üzerinde pul pul görüntüye neden olacaktır."
Behçet Hastalığı,"Behçet hastalığı, vaskülit olarak isimlendirilen kan damarlarının iltihaplanması şeklinde ortaya çıkan nadir bir otoimmün hastalıktır. Bağışıklık sisteminin bu şekilde tetiklenmesinde çeşitli enfeksiyon hastalıkları, kan elemanları ile ilgili kanserler veyaromatoid artritvelupusgibi çeşitli inflamatuar rahatsızlıklar rol oynayabilir. Bu iltihaplanma vücuttaki bütün kan damarlarında meydana gelebilir ve sonuç olarak ağız içinde yaralar, döküntüler veya görme ile ilgili problemler olarak kendisini gösterir. Hastalığın nasıl bir seyir izleyeceği kişiler arasında değişiklik göstermekle birlikte hastalığın aktif olduğu veya gerilediği dönemler mevcuttur.","Behçet hastalığında ilk aşamalarda oluşan temel belirti ağız içinde geçmeyen veya tekrarlayan yara oluşumudur. Bu yaralar genel olarak aft şeklinde ortaya çıkar. İyileşmeleri ise genellikle birkaç hafta sürmektedir. Daha az görülmekle birlikte bazı hastalarda ağız içi yaralarına ek olarak genital bölgede de yaralar oluşabilir. Genital bölgede yara oluşumu hastaların yaklaşık olarak %75’inde tespit edilebilir. Bu bölgeler dışında yara oluşumu yüz ve boyun bölgelerinde de meydana gelebilir. Her iki gözde şişlik,Görme güçlüğü,Gözlerde kızarıklık,Işığa karşı hassasiyet."
Bel Düzleşmesi,"Sağlıklı bireylerin beli kavisli bir yapıya sahiptir. Buradaki kavis zamanla birçok sebebe bağlı olarak azalabilir veya artabilir. Her iki durum da soruna yol açar. Bel eğrisinin azalması ile ortaya çıkan duruş bozukluğunabel düzleşmesi, tıp literatüründeki adı ile hipolordoz adı verilir. Görünüm beldeki düzleşmenin şiddetine göre değişir. Bu bireyler, yürüme ve ağırlık kaldırma gibi eylemleri gerçekleştirirken zamanla ağrı hissetmeye başlayabilir.Bel düzleşmesizamanlabel fıtığı(lomber disk hernisi) gibi hastalıklara da yol açabilir.",
Bel Fıtığı,"Omurlar, omurgayı oluşturan ve omuriliği koruyan yapı taşlarıdır. Omurun merkezi kısmında omurilik kanalı bulunur ve omurilik, bu kanal içinde güvenli bir şekilde korunur. Bel fıtığı, omurlar arasındaki disklerde meydana gelen deformasyon sonucu omurilik kanalına baskı yaparak sinir köklerine zarar veren bir durumdur. Omurlar arasındaki disklerin zayıflaması veya çatlaması nedeniyle omurilik kanalına sızan jelimsi madde, sinir köklerine baskı yaparak bel fıtığına neden olur. Bel fıtığı en sık sırtın alt kısmında meydana gelir. Bel fıtığının bulunduğu yere bağlı olarak kol veya bacakta ağrı, uyuşukluk veya güçsüzlük meydana gelebilir.","Fıtık belirtileriçoğunlukla hastanın yaşına, genel sağlık durumuna ve fıtığın konumuna bağlı olarak değişiklik gösterebilir. Bel fıtığı belirtileri şunlardır: Bel Ağrısı: Bel bölgesinde şiddetli ve sürekli oluşan ağrı.en yaygın karşılaşılan semptomdur. Bu çoğunlukla kişilerin bellerinin alt kısmında hissedilir ve zaman içinde bacaklara doğru yayılabilir.Bacaklarda Görülen Uyuşma ve Karıncalanma: Bel fıtığının, sinir köklerine baskı yapması bacaklarda uyuşma ve karıncalanma oluşumuna neden olabilir. Bu durum genellikle bel bölgesindeki ağrının yayılmasıyla birlikte ortaya çıkar.Güçsüzlük: Bel fıtığı bacaklarda güçsüzlük hissine neden olabilir. Bu durum, günlük yaşamda, aktivitelerin yerine getirilmesini zorlaştırabilir.Refleks Kaybı: Bel fıtığı, refleks kaybına yol açabilir. Diz ve ayak bileği reflekslerinde azalma gözlemlenebilir.Yayılan Ağrı: Bel fıtığından kaynaklanan ağrı, bel bölgesinden başlayarak kalça, uyluk ve bacaklara kadar yayılabilir.Hareket Kısıtlılığı: Bel fıtığı, bel bölgesindeki ağrı ve sinir köklerine bası nedeniyle kişinin normal hareketlerini kısıtlayabilir. Oturmak, kalkmak, eğilmek gibi günlük aktivitelerde zorlanma gözlenebilir."
Bel Kayması,"Bel kaymasıomurganın yapısal bir bozukluğu olarak tanımlanır. Bu durum omurların normal pozisyonlarından kaymalarını içerir ve bel bölgesinde ortaya çıkar. Bel kayması genellikle belirli faktörlerin etkisi altında gelişen bir durumdur ve hastalardabel ağrısı, bacak ağrısı ve sinirsel sorunlara neden olabilir. Bel kayması, omurlar arasındaki bağlantıların zayıflaması veya kırılması sonucunda meydana gelir.",
Beyin Anevrizması,"“Beyin anevrizması nedir?” sorusu genellikle anevrizma çeşitlerinde sık karşılaşılabilen bir sorudur. Beyinde bir kan damarının duvarı zayıflaması veya şişmesi ile ortaya çıkar. Kan damarının içindeki basınç, zayıflayan bölgenin balonlaşarak dışarı çıkmasına sebep olur. Beynin herhangi bir yerinde oluşabilir. Çoğu kafatasının tabanı boyunca ilerleyen ana arterlerde oluşur.",
Beyin Tümörü,"Beyin tümörübeyin dokusunda veya çevresinde oluşan, anormal hücrelerin aşırı çoğalması sonucu meydana gelen bir sağlık sorunudur. Bu anormal hücreler normal hücrelerin işlevselliğini bozarak kontrolsüz bir şekilde büyümeye devam eder.","Her hasta farklı bir semptom deneyimleyebilir. Belirtiler tümörün türü ve konumuna bağlı olarak değişebilir. Bilinç kaybı,Kas kasılmaları veya titremeler,Şuur kaybı,Görsel, işitsel veya tat duyularında değişiklikler,Hızlı kalp atışı,Anormal davranışlar veya konuşma,Kusma,Nörolojik belirtiler."
Boğaz Ağrısı,,
Boyun Fıtığı,"""Boyun fıtığı nedir?"" sorusunu, omurgayı oluşturan kemiklerin arasındaki disklerin zamanla zayıflamasıyla disk içeriğinin dışarıya doğru fırlarak sinir kökü ya da omuriliğin üzerine baskı yapması sonucu ortaya çıkan bir durumdur şeklinde cevaplamak mümkün. Boyun fıtığı, genellikle boyun, sırt, kol ve omuzlarda ağrıya, uyuşukluğa, karıncalanmaya ve güç kaybına neden olur. Ağrı, genellikle boyun hareketleri ile artar.",
Böbrek Taşı,"Böbrek taşı, böbreklerde biriken mineral ve tuz bileşenlerinin katı kristaller oluşturarak üriner sistem içinde hareket etmesiyle oluşur. Bu kristaller bazen kendiliğinden atılabilecek kadar küçük olabilir, bazense tıkanıklığa ve şiddetli ağrılara sebep olacak boyutlara ulaşabilir. İdrar yoluyla dışarı atılamayan parçalar ilerledikçe kişinin yaşam kalitesini ciddi düzeyde düşürebilir.","Kimi zaman böbrekte oluşan kristaller uzun süre fark edilmeyebilir. Ancakböbrek taşı belirtilerigenellikle taşın belirli bir boyuta ulaşması veya üreter gibi dar bölgelere ilerlemesiyle kendini gösterir. Yan, sırt veya kasık bölgesinde aniden başlayan ve dalgalar halinde gelen şiddetli ağrıİdrarda kan veya bulanıklıkSık idrara çıkma ihtiyacı, ancak az miktarda idrar yapmaİdrar yaparken yanma veya ağrı hissiMide bulantısı ve kusmaBöbrek ağrısıeşliğinde gelişebilen ateş ve titreme (enfeksiyona bağlı durumlarda)"
Böbrek Yetmezliği,"Böbrek yetmezliği, böbreklerin vücuttaki atık maddeleri ve fazla sıvıyı yeterince filtreleyememesi sonucu ortaya çıkan ciddi bir sağlık sorunudur. Akut böbrek yetmezliği aniden gelişir ve genellikle dehidrasyon, enfeksiyon veya ilaç toksisitesi gibi nedenlerle ortaya çıkabilirken, kronik böbrek yetmezliği yavaş iler ve diyabet, yüksek tansiyon veya böbrek hastalıkları gibi uzun süreli sorunlardan kaynaklanır. Belirtiler arasında yorgunluk, iştah kaybı, idrar miktarında değişiklikler, şişlik ve nefes darlığı bulunur. Tedavi, altta yatan nedene bağlı olarak ilaçlar, diyet değişiklikleri veya diyaliz ve böbrek nakli gibi yöntemlerle gerçekleştirilir. Erken teşhis ve tedavi, hastalığın ilerlemesini yavaşlatmak için kritik öneme sahiptir.","Böbrek yetmezliği belirtileri, hastalığın evresine ve türüne göre değişebilir. Erken evrelerde belirtiler hafif olabilir ve yorgunluk, iştah kaybı, mide bulantısı, idrar miktarında azalma veya artma, özellikle bacaklarda ve göz çevresinde şişlik (ödem) gibi semptomlar görülebilir. İlerleyen evrelerde ise nefes darlığı, konsantrasyon güçlüğü, ciltte kaşıntı, kas krampları, idrarda kan veya köpük, yüksek tansiyon ve vücutta toksin birikimine bağlı halsizlik gibi daha ciddi belirtiler ortaya çıkar. Akut böbrek yetmezliği ani başlangıçlı ve şiddetli olabilirken, kronik böbrek yetmezliği yavaş ilerler ve belirtiler zamanla kötüleşir. Bu belirtiler fark edildiğinde, erken teşhis ve tedavi için bir sağlık uzmanına başvurmak önemlidir. Sıvı ve Elektrolit Dengelemesi: Böbreklerin yeterince sıvı atamaması nedeniyle vücutta biriken sıvı ve elektrolit dengesizlikleri düzeltilir.Diyaliz: Böbreklerin atık maddeleri ve fazla sıvıları atamaması durumunda, hastayahemodiyalizveyaperiton diyaliziyapılabilir.İlaç Tedavisi: Akut böbrek yetmezliğine yol açan enfeksiyon, zehirlenme veya ilaçlara bağlı bir durum varsa, tedavi edici ilaçlar kullanılır.Altta Yatan Nedeni Tedavi Etmek: Akut böbrek yetmezliğine yol açan nedenin ortadan kaldırılması gerekir (örneğin, enfeksiyon tedavisi, dehidratasyon tedavisi, kan basıncının düzenlenmesi)."
Bradikardi,Bradikardi kalp atış hızının dakikada 60 atımın altında olması ile karakterize edilen kalp ritminin yavaşlaması durumudur. Bir tür aritmi olan bradikardi özellikle yüksek antrenmana sahip sporcularda ve uyku esnasında yaygın olarak görülebilir. Bu nedenle genellikle tek başına bradikardi herhangi bir riske sahip olmayabilir. Ancak ek semptomlar ile birlikte kalp ritminin yavaşlaması bazı kalp hastalıklarının bir belirtisi olabilir. Bradikardi kalpte elektriksel sinyallerin başladığı yer olan sinoatrial düğümlerde fonksiyon bozukluğundan kaynaklanabilir.,
Bronşit,,
Check Up,"Check-up, kişinin genel sağlık durumunu değerlendirmek, olası sağlık sorunlarını erken teşhis etmek ve sağlıklı bir yaşam sürdürmek için yapılan kapsamlı bir sağlık taramasıdır. Tıpkı bir aracın periyodik bakımı gibi, vücudumuzun da düzenli olarak kontrol edilmesi önemlidir. Örneğin kalp hastalığı için risk faktörlerine sahip birini doktor daha sık kontrol edebilir. Aynı zamanda kan tahlilinde anormal kolesterol seviyeleri kalp krizi ve felç riskini artırdığı için testlerin genişletilmesi gerekebilir. Rutin paketlerde bulunan ekokardiyografi bu risk için kalbi incelemeye yardımcı olur. Yapılan ilk tahlillere göre gerekli diğer testler belirlenebilir. Aynı zamanda kişinin cinsiyeti, yaşı ya da var olan diğer hastalıklarıcheck up paketleriile şekillendirilebilir.",
Cilt Kanseri,"""Cilt kanseri nedir?"" sorusunu genel çerçevede cevaplamak mümkündür. Sağlıklı ve normal bir ciltte bulunan hücreler öldüğünde yerine yeni hücreler oluşur. Ultraviyole güneş ışınları gibi faktörler nedeniyle cildin doğal süreci olması gerektiği gibi ilerleyemeyebilir. Sağlıklı hücre yenilenmesi gerçekleşmediğinde hücreler değişime uğrayabilir ve daha hızlı büyüyebilir. Bu hücreler yayılmadan ve kanserli olmayan türde olabilir. Ancak kontrolsüz çoğalan hücreler kanserin oluşmasında da neden olabilir. Bu duruma “cilt kanseri” denir. Erken tanı ve tedavinin sağlanmaması durumunda cilt kanseri vücudun diğer bölgelerine yayılma gösterebilir. Ancak erken aşamalarda teşhis edilen cilt kanserleri çoğunlukla iyileştirilebilir.","Cilt kanserinin tipik göstergesi ciltte meydana gelen değişikliklerdir. Bu durum renk, boyut ve şekil farklılıkları şeklinde olabilir.Cilt kanseri belirtileridaha koyu tene sahip bireylerde fark edilemeyebilir. Ancak cilt kanserine işaret eden bazı sinyaller bulunur. Şekli, boyutu ve rengi değişen benler,Yara izi gibi görünen ve kanayan lekeler,Yüzde ve boyunda inci şeklinde şişlikler,Pembe, kırmızı ve kahverenginden oluşan renkli yamalar,İyileştikten sonra tekrar oluşan yaralar,İyileşme göstermeyen yaralar,Ortasında çöküntü olan, kaşınan ve kabuklu, pullu yaralar."
Cüzzam,"Cüzzam hastalığı, Mycobacterium Leprae adlı bakterinin neden olduğu kronik bir enfeksiyon hastalığıdır. Cüzzam, deri, sinir sistemi, solunum sistemi ve gözleri etkileyebilir. Bakteri, özellikle deri ve sinir hücrelerinde büyür ve çoğalır. Cüzzamın bulaşma yolları tam olarak anlaşılamamış olsa da, en yaygın bulaşma şekli doğrudan temas yoluyla olmaktadır. Uzun süreli yakın temas veya enfekte kişinin salgılarıyla temas sonucunda bulaşma gerçekleşebilir. Bununla birlikte, cüzzamın bulaşma potansiyeli düşüktür ve hastalığa yatkınlık bireysel bağışıklık durumuyla da ilişkilidir.","Cüzzam hastalığı, Mycobacterium leprae adlı bakterinin neden olduğu bir enfeksiyon hastalığıdır. Hastalığın belirtileri ve seyri, bağışıklık sisteminin tepkisine ve hastalığın süresine bağlı olarak değişebilir. Cüzzamın belirtileri genellikle yavaş ilerleyen ve zamanla şiddetlenen bir şekilde ortaya çıkar."
Çocuklarda Kasık Fıtığı,,
Çölyak,,
Demans,"Beyin fonksiyonlarında kademeli olarak kayıplara neden olan bir durum“Demans nedir?”sorusuna cevap olabilir. Hafıza, rasyonel düşünme yeteneği, sosyal beceri ve muhakeme yeteneğinin kayıpları şeklinde kendini gösterebilir. Bu kayıplar günlük yaşamı, kişisel bakımı ve sosyal hayatı olumsuz etkileyebilir. Yaşlanma ile görülen normal bir süreç değildir ve demans yaşamayan yaşlı bireyler olabilir. Bununla birlikte yaşlanma ile sinir hücrelerinde kayıp fazla olursa demans gelişme riski artabilir.","Demans belirtileridemansın türüne ve şiddetine bağlı olarak değişkenlik gösterebilir. Bununla birlikte yaygın olarak görülendemans belirtilerişunlar olabilir: Kafa karışıklığı,Konuşma, yazma ve anlamada zorluk,Günlük görevleri tamamlayamama,Tekrar tekrar sorular sorma."
